Name   tor.angle pol.angle R      z      shift	dtheta	dphi	R/Ohm	Aeff/m^2
===============================================================================
B31-21	5.9691707 -0.117973 2.242655 -0.070243 0.0 -0.1518 0.0000 1.0000 0.0368
B31-22	5.9691707 -0.041222 2.253821 -0.024905 0.0 -0.0820 0.0000 1.0000 0.0368
B31-23	5.9691707 0.040927 2.258179 0.024905 0.0 -0.0820 0.0000 1.0000 0.0368
B31-24	5.9649821 0.60294390 2.2212765 0.39330524 -1 0.2166 0.0000 1.0000 0.0368
B31-25	5.9649821 0.66786418 2.2105296 0.44213662 -1 0.2166 0.0000 1.0000 0.0368
B31-26	5.9691707 0.289893 2.253887 0.180137 -1 0.0977 0.0000 1.0000 0.0368
B31-27	5.9691707 0.366605 2.248661 0.229863 0.0 0.0977 0.0000 1.0000 0.0368
B31-28	5.9691707 0.443716 2.244074 0.282380 0.0 0.1593 0.0000 1.0000 0.0368
B31-29	5.9691707 0.515418 2.235391 0.331620 0.0 0.1593 0.0000 1.0000 0.0368
SATwest	2.3561945 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
SATeast	5.4977871 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
SATwestI	2.3561945 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
SATeastI	5.4977871 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
DISRTRIG	2.3561945 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 2.8527799
SATw	3.1415927 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 0.71319495
SATs	4.7123890 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 0.71319495
SATe	0.0000000 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 0.71319495
SATn	1.5707963 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 0.71319495
SATew	0.0000000 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
SATns	1.5707963 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
SATewI	0.0000000 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
SATnsI	1.5707963 3.1415927 1.00450 0.000000 0.0 0.0 0.0 1.0000 1.4263899
C2:001	30 105.9 4.299 0.605 1.0 0.0000 0.0000 1.0000 1.0000
C2:002	30 119.5 4.095 1.084 1.0 0.0000 0.0000 1.0000 1.0000
C2:003	30 133.0 3.785 1.500 1.0 0.0000 0.0000 1.0000 1.0000
C2:004	30 146.5 3.387 1.833 1.0 0.0000 0.0000 1.0000 1.0000
C2:005	30 166.8 2.820 2.095 1.0 0.0000 0.0000 1.0000 1.0000
C2:006	30 212.7 2.221 1.995 1.0 0.0000 0.0000 1.0000 1.0000
C2:007	30 255.4 1.868 1.495 1.0 0.0000 0.0000 1.0000 1.0000
C2:008	30 261.5 1.743 0.876 1.0 0.0000 0.0000 1.0000 1.0000
C2:009	30 267.6 1.683 0.247 1.0 0.0000 0.0000 1.0000 1.0000
C2:010	30 272.4 1.683 -0.247 1.0 0.0000 0.0000 1.0000 1.0000
